season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
1991,2,59607,4391,23563,49639,1086,3556,11395,14946,8264,129495,11940,13.57481212,11.30471419,5.366203598,0.8098383056,0.247324072,3.40378046,2.595080847,0.7624113475,29.49100433,2.71919836
1991,1,90892,4521,34477,70296,2280,6669,19658,24345,11353,160651,19867,20.10440168,15.5487724,7.625967706,1.475116125,0.504313205,5.384870604,4.348153063,0.8074758677,35.53439505,4.394381774
1992,5,10869,3258,4344,10077,319,1062,1862,2692,2226,40130,3435,3.336095764,3.093001842,1.333333333,0.3259668508,0.09791282996,0.8262737876,0.5715162676,0.691679049,12.31737262,1.054327808
1992,4,25272,4028,10019,21975,545,1709,4689,6607,4271,71989,6818,6.27408143,5.455561072,2.48733863,0.4242800397,0.1353028798,1.640268123,1.164101291,0.7097018314,17.87214499,1.69265144
1992,3,40586,4269,16155,34449,793,2487,7483,10086,6190,106730,10041,9.50714453,8.069571328,3.784258609,0.5825720309,0.1857577887,2.362614195,1.752869524,0.7419194924,25.00117123,2.352073085
1992,2,59573,4435,23683,49965,950,3110,11257,14976,8315,131063,12752,13.432469,11.26606539,5.340022548,0.7012401353,0.214205186,3.376775648,2.538218715,0.7516693376,29.55197294,2.875310034
1992,1,89308,4632,34181,69936,2784,7825,18162,22809,11141,165231,19332,19.2806563,15.0984456,7.379317789,1.68933506,0.6010362694,4.924222798,3.920984456,0.7962646324,35.67163212,4.17357513
1993,5,12461,3400,4876,11262,398,1285,2311,3249,2589,44205,3698,3.665,3.312352941,1.434117647,0.3779411765,0.1170588235,0.9555882353,0.6797058824,0.7112957833,13.00147059,1.087647059
1993,4,25940,3976,10322,22152,559,1737,4737,6731,4331,76997,6708,6.524144869,5.571428571,2.596076459,0.4368712274,0.1405935614,1.692907445,1.19139839,0.7037587283,19.36544266,1.687122736
1993,3,39394,4236,15382,32688,1022,3142,7608,10235,6028,99279,9637,9.299811143,7.716713881,3.631255902,0.7417374882,0.2412653447,2.416194523,1.796033994,0.7433317049,23.43696884,2.275023607
1993,2,57991,4329,22387,46824,1676,4943,11541,15290,8390,130676,14836,13.3959344,10.81635482,5.171402171,1.141834142,0.3871563872,3.531993532,2.665973666,0.7548070634,30.18618619,3.427119427
1993,1,87917,4526,33536,69334,2830,8043,18015,22989,11175,161187,17807,19.42487848,15.31904551,7.40963323,1.777065842,0.6252761821,5.079319487,3.980335837,0.7836356518,35.61356606,3.934379143
1994,5,12964,3385,5056,11491,357,1140,2495,3581,2416,42306,3230,3.829837518,3.394682422,1.493648449,0.3367799114,0.105465288,1.057902511,0.7370753323,0.6967327562,12.49807976,0.9542097489
1994,4,24923,3913,9773,21275,603,1860,4774,6784,4442,75465,5716,6.369281881,5.437004856,2.497572195,0.4753386149,0.1541017122,1.733708152,1.220035778,0.7037146226,19.28571429,1.460771786
1994,3,38611,4202,15119,32586,1224,3758,7149,9901,6036,99347,9310,9.188719657,7.754878629,3.598048548,0.8943360305,0.291289862,2.356258924,1.701332699,0.722048278,23.64278915,2.215611614
1994,2,55688,4296,21615,46755,2083,6299,10375,13951,8490,131909,15692,12.96275605,10.88337989,5.031424581,1.466247672,0.4848696462,3.247439479,2.415037244,0.7436742886,30.70507449,3.652700186
1994,1,83970,4525,32145,66937,2739,7904,16941,22369,11196,159093,17834,18.55690608,14.79270718,7.103867403,1.746740331,0.6053038674,4.943425414,3.743867403,0.7573427511,35.15867403,3.94121547
1995,5,11648,3307,4480,10207,528,1656,2160,3226,2368,40063,2953,3.522225582,3.086483217,1.354702147,0.5007559722,0.1596613245,0.9755065014,0.6531599637,0.6695598264,12.11460538,0.8929543393
1995,4,23176,3872,9002,19664,952,2819,4220,6188,4414,74003,6413,5.98553719,5.078512397,2.324896694,0.7280475207,0.2458677686,1.598140496,1.089876033,0.6819650937,19.11234504,1.65625
1995,3,38326,4259,14525,30803,1840,5084,7436,10117,5967,100431,9024,8.998826015,7.232448932,3.410424982,1.193707443,0.4320262973,2.375440244,1.745949753,0.7350004942,23.58088753,2.118807232
1995,2,54440,4381,20605,44151,3232,8854,9998,13769,7969,131097,12908,12.42638667,10.07783611,4.703264095,2.020999772,0.7377311116,3.142889751,2.282127368,0.7261239015,29.92398996,2.946359279
1995,1,87312,4581,31947,67472,5185,14170,18233,23756,11577,163691,18254,19.05959398,14.72866186,6.973804846,3.093211089,1.131848941,5.1857673,3.980135342,0.7675113655,35.73259114,3.984719494
1996,5,11918,3543,4449,10467,695,2020,2325,3463,2692,43562,3242,3.363815975,2.954276037,1.255715495,0.5701383009,0.1961614451,0.9774202653,0.6562235394,0.6713831938,12.29523003,0.9150437482
1996,4,23269,4157,8934,19570,1032,2971,4369,6413,4186,74541,4995,5.597546307,4.707721915,2.149146019,0.7146980996,0.2482559538,1.542699062,1.050998316,0.6812724154,17.93144094,1.201587683
1996,3,41197,4478,15669,34333,2342,6564,7517,10319,6296,107681,9013,9.199866012,7.667038857,3.499106744,1.465832961,0.5230013399,2.304376954,1.678651184,0.7284620603,24.04667262,2.012728897
1996,2,59327,4722,21988,47242,3996,10568,11355,15062,8927,144368,15812,12.56395595,10.00465904,4.656501482,2.238034731,0.8462515883,3.189750106,2.404701398,0.7538839464,30.57348581,3.34858111
1996,1,91149,4932,33471,70610,5333,14244,18874,24719,12292,177615,18646,18.48114355,14.31670722,6.78649635,2.888077859,1.081305758,5.011962693,3.826845093,0.7635422145,36.01277372,3.780616383
1997,5,12064,3507,4551,10423,564,1703,2398,3498,2439,43686,2906,3.439977188,2.972055888,1.297690334,0.4856002281,0.1608212147,0.997433704,0.6837753065,0.6855345912,12.45680068,0.8286284574
1997,4,22415,4027,8471,19499,1736,4889,3737,5368,4063,72139,5547,5.566178296,4.842066054,2.103551031,1.214055128,0.4310901415,1.333002235,0.9279860939,0.6961624441,17.91383164,1.377452198
1997,3,37015,4307,13848,30386,2241,6277,7078,9856,6237,109468,9997,8.59414906,7.055026701,3.215231019,1.457394938,0.520315765,2.288367773,1.643371256,0.7181412338,25.41629905,2.321105178
